model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Citroën C4 Cactus 1,2 PureTech 82 Feel ETG",109900,85000,2016,82,23,172,Benzin,725,975,Automatis,5
"Citroën C3 1,2 VTi 82 Seduction",59999,73000,2014,82,22,174,Benzin,800,1.140,Manue,5
"Citroën Berlingo 1,6",24900,345000,2010,108,,,Diese,,,Manue,
"Citroën C3 Picasso 1,6 HDi 90 Seduction",38900,179000,2011,90,22,174,Diese,1.200,1.401,Manue,5
"Citroën C3 1,4 Furio Cli",19999,184000,2007,75,16,168,Benzin,900,1.000,Manue,5
Citroën C1 Seduction,24900,138000,2011,68,22,157,Benzin,,775,Manue,5
Citroën C1 Prestige au,34800,162000,2009,68,22,157,Benzin,,810,Automatis,5
"Citroën Grand C4 Picasso HDI Seduction 112HK 6g
                B",58900,160000,2011,,20,,Diese,,,Manue,
"Citroën Grand C4 Picasso 1,6 VTi 120 Prestige",69900,196000,2009,120,14,186,Benzin,1.500,1.461,Manue,5
"Citroën Grand C4 Picasso 2,0 e-HDi 150 Intensive au",128900,192000,2014,150,22,207,Diese,1.300,1.710,Automatis,5
"Citroën C3 1,5 BlueHDi 100 Coo",134800,9000,2020,100,33,188,Diese,600,1.211,Manue,5
"Citroën C4 Cactus 1,2 PureTech 82 Feel Edition ETG",119900,78000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën C3 Picasso 1,6 BlueHDi 100 Seduction",79900,84000,2015,100,26,179,Diese,900,1.420,Manue,5
"Citroën C4 Picasso 1,6 HDi 110 VTR E6G",44900,229000,2010,110,19,180,Diese,1.200,1.474,Automatis,5
"Citroën C4 1,6 HDi",22500,354000,2008,110,21,192,Diese,1.300,1.275,Manue,5
"Citroën C4 Cactus 1,6 e-HDi 92 Feel ETG6",99900,114000,2014,92,29,184,Diese,865,1.055,Automatis,5
"Citroën C5 2,2 HDi 200 Exclusive Tourer au",139900,167000,2012,204,16,225,Diese,1.600,1.895,Automatis,5
Citroën C1 Seduction Cli,44800,68000,2014,68,23,157,Benzin,,805,Manue,5
"Citroën C1 1,0 e-VTi 68 Live",49800,145000,2015,68,26,157,Benzin,,860,Manue,5
"Citroën Berlingo 1,6 HDi 110 XTR",49900,230000,2008,110,18,173,Diese,1.000,1.404,Manue,5
"Citroën C3 1,4 i Attraction  5d",34800,151000,2010,75,16,,Benzin,,1.529,Manue,
